0;0xaae6;FUN_InstallCrack
515;0xb884;io_shiftkey
516;0xb884;io_shiftkey
517;0xb884;io_shiftkey
518;0xb770;setphysic
519;0xb7ee;SYS_GetMouse
520;0xb812;SYS_Joystick
521;0xb884;io_shiftkey
522;0xb884;io_shiftkey
523;0xb884;io_shiftkey
524;0xb7ee;SYS_GetMouse
525;0xb812;SYS_Joystick
526;0xb884;io_shiftkey
527;0xb884;io_shiftkey
528;0xb884;io_shiftkey
529;0xb7ee;SYS_GetMouse
530;0xb812;SYS_Joystick
531;0xb884;io_shiftkey
532;0xb884;io_shiftkey
533;0xb884;io_shiftkey
534;0xb770;setphysic
535;0xb7ee;SYS_GetMouse
536;0xb812;SYS_Joystick
537;0xb884;io_shiftkey
538;0xb884;io_shiftkey
539;0xb884;io_shiftkey
540;0xb7ee;SYS_GetMouse
541;0xb812;SYS_Joystick
542;0xb884;io_shiftkey
543;0xb884;io_shiftkey
544;0xb884;io_shiftkey
545;0xb7ee;SYS_GetMouse
546;0xb812;SYS_Joystick
547;0xb884;io_shiftkey
548;0xb884;io_shiftkey
549;0xb884;io_shiftkey
550;0xb770;setphysic
551;0xb7ee;SYS_GetMouse
552;0xb812;SYS_Joystick
553;0xb884;io_shiftkey
554;0xb884;io_shiftkey
555;0xb884;io_shiftkey
556;0xb7ee;SYS_GetMouse
557;0xb812;SYS_Joystick
558;0xb884;io_shiftkey
559;0xb884;io_shiftkey
560;0xb884;io_shiftkey
561;0xb7ee;SYS_GetMouse
562;0xb812;SYS_Joystick
563;0xb884;io_shiftkey
564;0xb884;io_shiftkey
565;0xb884;io_shiftkey
566;0xb770;setphysic
567;0xb7ee;SYS_GetMouse
568;0xb812;SYS_Joystick
569;0xb884;io_shiftkey
570;0xb884;io_shiftkey
571;0xb884;io_shiftkey
572;0xb7ee;SYS_GetMouse
573;0xb812;SYS_Joystick
574;0xb884;io_shiftkey
575;0xb884;io_shiftkey
576;0xb884;io_shiftkey
577;0xb7ee;SYS_GetMouse
578;0xb812;SYS_Joystick
579;0xb884;io_shiftkey
580;0xb884;io_shiftkey
581;0xb884;io_shiftkey
582;0xb228;INT_ExceptionVector0x18
583;0xb770;setphysic
584;0xb7ee;SYS_GetMouse
585;0xb812;SYS_Joystick
586;0xb884;io_shiftkey
587;0xb884;io_shiftkey
588;0xb884;io_shiftkey
589;0xb7ee;SYS_GetMouse
590;0xb812;SYS_Joystick
591;0xb884;io_shiftkey
592;0xb884;io_shiftkey
593;0xb884;io_shiftkey
594;0xb7ee;SYS_GetMouse
595;0xb812;SYS_Joystick
596;0xb884;io_shiftkey
597;0xb884;io_shiftkey
598;0xb884;io_shiftkey
599;0xb770;setphysic
600;0xb7ee;SYS_GetMouse
601;0xb812;SYS_Joystick
602;0xb884;io_shiftkey
603;0xb884;io_shiftkey
604;0xb884;io_shiftkey
605;0xb7ee;SYS_GetMouse
606;0xb812;SYS_Joystick
607;0xb884;io_shiftkey
608;0xb884;io_shiftkey
609;0xb884;io_shiftkey
610;0xb7ee;SYS_GetMouse
611;0xb812;SYS_Joystick
612;0xb884;io_shiftkey
613;0xb884;io_shiftkey
614;0xb884;io_shiftkey
615;0xb770;setphysic
616;0xb7ee;SYS_GetMouse
617;0xb812;SYS_Joystick
618;0xb884;io_shiftkey
619;0xb884;io_shiftkey
620;0xb884;io_shiftkey
621;0xb7ee;SYS_GetMouse
622;0xb812;SYS_Joystick
623;0xb884;io_shiftkey
624;0xb884;io_shiftkey
625;0xb884;io_shiftkey
626;0xb7ee;SYS_GetMouse
627;0xb812;SYS_Joystick
628;0xb884;io_shiftkey
629;0xb884;io_shiftkey
630;0xb884;io_shiftkey
631;0xb770;setphysic
632;0xb7ee;SYS_GetMouse
633;0xb812;SYS_Joystick
634;0xb884;io_shiftkey
635;0xb884;io_shiftkey
636;0xb884;io_shiftkey
637;0xb7ee;SYS_GetMouse
638;0xb812;SYS_Joystick
639;0xb884;io_shiftkey
640;0xb884;io_shiftkey
641;0xb884;io_shiftkey
642;0xb7ee;SYS_GetMouse
643;0xb812;SYS_Joystick
644;0xb884;io_shiftkey
645;0xb884;io_shiftkey
646;0xb884;io_shiftkey
647;0xb770;setphysic
648;0xb7ee;SYS_GetMouse
649;0xb812;SYS_Joystick
650;0xb884;io_shiftkey
651;0xb884;io_shiftkey
652;0xb884;io_shiftkey
653;0xb7ee;SYS_GetMouse
654;0xb812;SYS_Joystick
655;0xb884;io_shiftkey
656;0xb884;io_shiftkey
657;0xb884;io_shiftkey
658;0xb7ee;SYS_GetMouse
659;0xb812;SYS_Joystick
660;0xb884;io_shiftkey
661;0xb884;io_shiftkey
662;0xb884;io_shiftkey
663;0xb770;setphysic
664;0xb7ee;SYS_GetMouse
665;0xb812;SYS_Joystick
666;0xb884;io_shiftkey
667;0xb884;io_shiftkey
668;0xb884;io_shiftkey
669;0xb7ee;SYS_GetMouse
670;0xb812;SYS_Joystick
671;0xb884;io_shiftkey
672;0xb884;io_shiftkey
673;0xb884;io_shiftkey
674;0xb7ee;SYS_GetMouse
675;0xb812;SYS_Joystick
676;0xb884;io_shiftkey
677;0xb884;io_shiftkey
678;0xb884;io_shiftkey
679;0xb770;setphysic
680;0xb7ee;SYS_GetMouse
681;0xb812;SYS_Joystick
682;0xb884;io_shiftkey
683;0xb884;io_shiftkey
684;0xb884;io_shiftkey
685;0xb7ee;SYS_GetMouse
686;0xb812;SYS_Joystick
687;0xb884;io_shiftkey
688;0xb884;io_shiftkey
689;0xb884;io_shiftkey
690;0xb7ee;SYS_GetMouse
691;0xb812;SYS_Joystick
692;0xb884;io_shiftkey
693;0xb884;io_shiftkey
694;0xb884;io_shiftkey
695;0xb770;setphysic
696;0xb7ee;SYS_GetMouse
697;0xb812;SYS_Joystick
698;0xb884;io_shiftkey
699;0xb884;io_shiftkey
700;0xb884;io_shiftkey
701;0xb7ee;SYS_GetMouse
702;0xb812;SYS_Joystick
703;0xb884;io_shiftkey
704;0xb884;io_shiftkey
705;0xb884;io_shiftkey
706;0xb7ee;SYS_GetMouse
707;0xb812;SYS_Joystick
708;0xb884;io_shiftkey
709;0xb884;io_shiftkey
710;0xb884;io_shiftkey
711;0xb770;setphysic
712;0xb7ee;SYS_GetMouse
713;0xb812;SYS_Joystick
714;0xb884;io_shiftkey
715;0xb884;io_shiftkey
716;0xb884;io_shiftkey
717;0xb7ee;SYS_GetMouse
718;0xb812;SYS_Joystick
719;0xb884;io_shiftkey
720;0xb884;io_shiftkey
721;0xb884;io_shiftkey
722;0xb7ee;SYS_GetMouse
723;0xb812;SYS_Joystick
724;0xb884;io_shiftkey
725;0xb884;io_shiftkey
726;0xb884;io_shiftkey
727;0xb770;setphysic
